model,sampler,best_trial_number,best_trial_evaluation,best_trial_hits@10,best_trial_AMR,mean_hpo_runtime_hours
TransH,random,0,0.13801261470302018,0.2544910179640718,0.607905029391838,1.3896071872222222
DistMult,tpe,51,0.4414599763156848,0.5958083832335329,0.0631101002873265,0.30174839694444444
TransE,random,26,0.45381773652595786,0.6107784431137725,0.0657730371334444,1.1249119091666666
ComplEx,tpe,61,0.019569116887222376,0.0329341317365269,1.0259486496918,0.24714551638888888
TransE,tpe,45,0.4587978540146046,0.625748502994012,0.061853432283137,0.940285325
TransH,tpe,54,0.1533453332345286,0.3532934131736527,0.3140208026112957,1.7149842597222222
RotatE,tpe,53,0.3746247879054508,0.5389221556886228,0.130700820479653,1.0386214697222222
ComplEx,random,46,0.01669606692654911,0.0269461077844311,1.0141300214912854,0.38845492083333333
RotatE,random,23,0.38626731863238706,0.5479041916167665,0.1184109167599081,0.9211366491666667
DistMult,random,89,0.36545119688454053,0.5538922155688623,0.0977731585851281,0.6065386569444445
