model,optimizer,loss,inverse_relations,hits@1,hits@3,hits@5,hits@10
ComplEx,SGD,BCEWithLogitsLoss,False,0.0,0.005988023952095809,0.005988023952095809,0.011976047904191617
DistMult,Adam,SoftplusLoss,True,0.0688622754491018,0.16467065868263472,0.19461077844311378,0.2994011976047904
RotatE,SGD,MarginRankingLoss,False,0.0029940119760479044,0.059880239520958084,0.06287425149700598,0.08383233532934131
TransE,Adam,MarginRankingLoss,True,0.25149700598802394,0.4341317365269461,0.5209580838323353,0.6437125748502994
DistMult,Adagrad,MarginRankingLoss,False,0.2754491017964072,0.4041916167664671,0.4940119760479042,0.6197604790419161
RotatE,Adagrad,SoftplusLoss,True,0.09880239520958084,0.19461077844311378,0.26646706586826346,0.3562874251497006
DistMult,Adam,BCEWithLogitsLoss,False,0.08083832335329341,0.16766467065868262,0.20958083832335328,0.2904191616766467
ComplEx,SGD,NSSALoss,False,0.0,0.005988023952095809,0.008982035928143712,0.020958083832335328
RotatE,SGD,MarginRankingLoss,True,0.0029940119760479044,0.059880239520958084,0.0748502994011976,0.10479041916167664
TransH,Adagrad,BCEWithLogitsLoss,False,0.0,0.09880239520958084,0.15868263473053892,0.19161676646706588
TransH,SGD,NSSALoss,True,0.0,0.008982035928143712,0.008982035928143712,0.008982035928143712
TransE,Adam,BCEWithLogitsLoss,False,0.0748502994011976,0.15269461077844312,0.18263473053892215,0.23353293413173654
DistMult,SGD,SoftplusLoss,False,0.0,0.0,0.0,0.0
ComplEx,Adam,MarginRankingLoss,True,0.1407185628742515,0.23053892215568864,0.25748502994011974,0.31736526946107785
TransE,SGD,BCEWithLogitsLoss,False,0.0,0.0658682634730539,0.11377245508982035,0.17365269461077845
TransH,Adam,NSSALoss,True,0.04790419161676647,0.1347305389221557,0.19461077844311378,0.24251497005988024
TransH,SGD,SoftplusLoss,False,0.017964071856287425,0.09281437125748503,0.12574850299401197,0.19161676646706588
ComplEx,Adam,NSSALoss,False,0.09580838323353294,0.23952095808383234,0.2994011976047904,0.4041916167664671
ComplEx,Adagrad,MarginRankingLoss,False,0.0029940119760479044,0.011976047904191617,0.011976047904191617,0.029940119760479042
DistMult,Adagrad,NSSALoss,True,0.0,0.0,0.0029940119760479044,0.005988023952095809
TransH,Adam,BCEWithLogitsLoss,True,0.1437125748502994,0.2245508982035928,0.281437125748503,0.3772455089820359
RotatE,Adagrad,NSSALoss,True,0.2964071856287425,0.4491017964071856,0.5239520958083832,0.6377245508982036
ComplEx,Adagrad,SoftplusLoss,True,0.0,0.0,0.0,0.0029940119760479044
ComplEx,Adam,NSSALoss,True,0.18263473053892215,0.25748502994011974,0.3023952095808383,0.38622754491017963
TransE,Adagrad,SoftplusLoss,False,0.2994011976047904,0.41317365269461076,0.4550898203592814,0.5269461077844312
RotatE,Adam,BCEWithLogitsLoss,False,0.09880239520958084,0.23053892215568864,0.2754491017964072,0.37425149700598803
DistMult,SGD,BCEWithLogitsLoss,True,0.0,0.008982035928143712,0.011976047904191617,0.017964071856287425
RotatE,Adagrad,BCEWithLogitsLoss,False,0.08682634730538923,0.2275449101796407,0.2844311377245509,0.37425149700598803
ComplEx,Adagrad,NSSALoss,True,0.0,0.0,0.0,0.0
RotatE,Adam,NSSALoss,False,0.25449101796407186,0.4101796407185629,0.49101796407185627,0.6227544910179641
DistMult,Adam,NSSALoss,False,0.04790419161676647,0.12275449101796407,0.16467065868263472,0.26646706586826346
TransE,Adam,NSSALoss,False,0.30538922155688625,0.4341317365269461,0.5179640718562875,0.6347305389221557
ComplEx,Adagrad,BCEWithLogitsLoss,True,0.0029940119760479044,0.0029940119760479044,0.005988023952095809,0.005988023952095809
DistMult,SGD,NSSALoss,False,0.0,0.0,0.0,0.0029940119760479044
TransE,Adagrad,NSSALoss,True,0.3592814371257485,0.46407185628742514,0.5449101796407185,0.6287425149700598
RotatE,Adam,BCEWithLogitsLoss,True,0.1407185628742515,0.218562874251497,0.25748502994011974,0.36227544910179643
RotatE,SGD,SoftplusLoss,False,0.0029940119760479044,0.059880239520958084,0.06287425149700598,0.08383233532934131
RotatE,Adagrad,MarginRankingLoss,True,0.23952095808383234,0.32934131736526945,0.3712574850299401,0.4550898203592814
ComplEx,Adagrad,NSSALoss,False,0.0,0.0029940119760479044,0.005988023952095809,0.017964071856287425
ComplEx,Adam,SoftplusLoss,True,0.17664670658682635,0.2634730538922156,0.3023952095808383,0.3712574850299401
DistMult,Adam,MarginRankingLoss,False,0.1347305389221557,0.26646706586826346,0.3473053892215569,0.5179640718562875
ComplEx,SGD,MarginRankingLoss,False,0.0,0.005988023952095809,0.005988023952095809,0.011976047904191617
TransE,SGD,BCEWithLogitsLoss,True,0.0,0.2634730538922156,0.3143712574850299,0.37425149700598803
RotatE,SGD,BCEWithLogitsLoss,False,0.0029940119760479044,0.059880239520958084,0.06287425149700598,0.08383233532934131
RotatE,SGD,NSSALoss,False,0.0,0.0,0.0,0.008982035928143712
DistMult,Adagrad,BCEWithLogitsLoss,False,0.023952095808383235,0.06287425149700598,0.08083832335329341,0.11676646706586827
TransH,Adagrad,SoftplusLoss,False,0.0,0.09880239520958084,0.15868263473053892,0.19161676646706588
ComplEx,SGD,BCEWithLogitsLoss,True,0.0,0.0,0.0,0.005988023952095809
RotatE,Adam,NSSALoss,True,0.2754491017964072,0.39520958083832336,0.47904191616766467,0.6047904191616766
TransH,Adagrad,MarginRankingLoss,False,0.04491017964071856,0.1497005988023952,0.2275449101796407,0.32335329341317365
TransE,Adam,MarginRankingLoss,False,0.23353293413173654,0.38922155688622756,0.46706586826347307,0.562874251497006
TransE,SGD,MarginRankingLoss,False,0.0,0.023952095808383235,0.04790419161676647,0.09281437125748503
DistMult,Adam,MarginRankingLoss,True,0.15269461077844312,0.2904191616766467,0.39520958083832336,0.5419161676646707
TransE,SGD,NSSALoss,True,0.0029940119760479044,0.017964071856287425,0.038922155688622756,0.08383233532934131
ComplEx,SGD,SoftplusLoss,True,0.0,0.0,0.0,0.005988023952095809
DistMult,Adagrad,MarginRankingLoss,True,0.20359281437125748,0.3473053892215569,0.4221556886227545,0.5359281437125748
TransH,Adam,SoftplusLoss,False,0.1497005988023952,0.24251497005988024,0.31137724550898205,0.39221556886227543
ComplEx,Adagrad,BCEWithLogitsLoss,False,0.0,0.0029940119760479044,0.008982035928143712,0.014970059880239521
DistMult,SGD,SoftplusLoss,True,0.0,0.008982035928143712,0.011976047904191617,0.017964071856287425
RotatE,SGD,SoftplusLoss,True,0.0029940119760479044,0.059880239520958084,0.0748502994011976,0.11077844311377245
RotatE,Adam,MarginRankingLoss,False,0.31137724550898205,0.48502994011976047,0.562874251497006,0.655688622754491
RotatE,Adagrad,MarginRankingLoss,False,0.1467065868263473,0.24550898203592814,0.2964071856287425,0.39820359281437123
RotatE,Adagrad,SoftplusLoss,False,0.08682634730538923,0.2245508982035928,0.281437125748503,0.3772455089820359
TransE,Adam,SoftplusLoss,False,0.08982035928143713,0.17065868263473055,0.20359281437125748,0.24251497005988024
TransH,SGD,BCEWithLogitsLoss,True,0.008982035928143712,0.05389221556886228,0.09880239520958084,0.1437125748502994
TransE,Adagrad,MarginRankingLoss,True,0.09281437125748503,0.31736526946107785,0.36227544910179643,0.4281437125748503
TransE,Adagrad,NSSALoss,False,0.30538922155688625,0.4161676646706587,0.4880239520958084,0.5838323353293413
TransE,SGD,SoftplusLoss,True,0.0,0.2634730538922156,0.3143712574850299,0.37425149700598803
DistMult,Adam,SoftplusLoss,False,0.08083832335329341,0.16766467065868262,0.20958083832335328,0.2904191616766467
TransE,Adam,NSSALoss,True,0.3143712574850299,0.47904191616766467,0.5329341317365269,0.6616766467065869
TransH,Adagrad,BCEWithLogitsLoss,True,0.0029940119760479044,0.10479041916167664,0.17365269461077845,0.2694610778443114
RotatE,SGD,BCEWithLogitsLoss,True,0.0029940119760479044,0.059880239520958084,0.0748502994011976,0.11077844311377245
ComplEx,Adam,BCEWithLogitsLoss,True,0.17664670658682635,0.2634730538922156,0.3023952095808383,0.3712574850299401
ComplEx,SGD,SoftplusLoss,False,0.0,0.005988023952095809,0.005988023952095809,0.011976047904191617
TransH,Adam,BCEWithLogitsLoss,False,0.05089820359281437,0.20958083832335328,0.27245508982035926,0.37425149700598803
ComplEx,Adam,MarginRankingLoss,False,0.03293413173652695,0.08982035928143713,0.11676646706586827,0.16766467065868262
TransH,Adagrad,SoftplusLoss,True,0.0029940119760479044,0.10479041916167664,0.17365269461077845,0.2694610778443114
TransH,Adagrad,NSSALoss,True,0.005988023952095809,0.05688622754491018,0.12574850299401197,0.17964071856287425
RotatE,SGD,NSSALoss,True,0.0029940119760479044,0.0029940119760479044,0.005988023952095809,0.008982035928143712
DistMult,Adagrad,SoftplusLoss,True,0.0,0.008982035928143712,0.020958083832335328,0.06287425149700598
TransE,Adagrad,SoftplusLoss,True,0.17964071856287425,0.2844311377245509,0.3413173652694611,0.437125748502994
TransE,Adagrad,MarginRankingLoss,False,0.023952095808383235,0.17664670658682635,0.25748502994011974,0.37425149700598803
TransE,Adam,BCEWithLogitsLoss,True,0.09580838323353294,0.17664670658682635,0.23652694610778444,0.30538922155688625
TransH,SGD,BCEWithLogitsLoss,False,0.017964071856287425,0.09281437125748503,0.12574850299401197,0.19161676646706588
TransH,Adam,NSSALoss,False,0.08682634730538923,0.1437125748502994,0.17964071856287425,0.24550898203592814
ComplEx,Adagrad,MarginRankingLoss,True,0.0,0.0,0.0,0.008982035928143712
RotatE,Adam,MarginRankingLoss,True,0.2964071856287425,0.4221556886227545,0.49101796407185627,0.5808383233532934
TransH,Adam,SoftplusLoss,True,0.15568862275449102,0.24550898203592814,0.2994011976047904,0.4431137724550898
ComplEx,SGD,NSSALoss,True,0.0,0.0,0.0,0.0
TransH,Adam,MarginRankingLoss,True,0.16167664670658682,0.27245508982035926,0.3323353293413174,0.45209580838323354
DistMult,SGD,MarginRankingLoss,False,0.0,0.0,0.0,0.0
TransE,SGD,SoftplusLoss,False,0.0,0.0658682634730539,0.11377245508982035,0.17664670658682635
DistMult,SGD,MarginRankingLoss,True,0.0029940119760479044,0.005988023952095809,0.011976047904191617,0.020958083832335328
ComplEx,SGD,MarginRankingLoss,True,0.0,0.0,0.0029940119760479044,0.005988023952095809
DistMult,SGD,NSSALoss,True,0.0,0.005988023952095809,0.008982035928143712,0.014970059880239521
ComplEx,Adam,SoftplusLoss,False,0.11077844311377245,0.218562874251497,0.281437125748503,0.3562874251497006
TransH,Adam,MarginRankingLoss,False,0.17964071856287425,0.31736526946107785,0.39221556886227543,0.49101796407185627
ComplEx,Adam,BCEWithLogitsLoss,False,0.11077844311377245,0.218562874251497,0.281437125748503,0.3562874251497006
TransH,SGD,MarginRankingLoss,False,0.023952095808383235,0.12275449101796407,0.17365269461077845,0.2275449101796407
DistMult,Adagrad,NSSALoss,False,0.0,0.0029940119760479044,0.0029940119760479044,0.005988023952095809
RotatE,Adagrad,BCEWithLogitsLoss,True,0.09880239520958084,0.19461077844311378,0.26047904191616766,0.3562874251497006
TransH,SGD,SoftplusLoss,True,0.008982035928143712,0.05389221556886228,0.09880239520958084,0.1437125748502994
TransE,SGD,MarginRankingLoss,True,0.0,0.038922155688622756,0.08682634730538923,0.15269461077844312
TransE,Adagrad,BCEWithLogitsLoss,False,0.3143712574850299,0.4041916167664671,0.44610778443113774,0.5389221556886228
TransH,SGD,NSSALoss,False,0.0029940119760479044,0.008982035928143712,0.014970059880239521,0.017964071856287425
TransE,Adagrad,BCEWithLogitsLoss,True,0.17964071856287425,0.27844311377245506,0.32934131736526945,0.4311377245508982
TransH,SGD,MarginRankingLoss,True,0.029940119760479042,0.11077844311377245,0.15568862275449102,0.18862275449101795
DistMult,Adam,NSSALoss,True,0.023952095808383235,0.09580838323353294,0.11377245508982035,0.20059880239520958
TransH,Adagrad,NSSALoss,False,0.023952095808383235,0.1437125748502994,0.17365269461077845,0.2215568862275449
TransE,SGD,NSSALoss,False,0.0,0.017964071856287425,0.038922155688622756,0.0718562874251497
TransH,Adagrad,MarginRankingLoss,True,0.05389221556886228,0.1347305389221557,0.23952095808383234,0.31137724550898205
RotatE,Adam,SoftplusLoss,False,0.10179640718562874,0.2215568862275449,0.2694610778443114,0.3712574850299401
TransE,Adam,SoftplusLoss,True,0.08682634730538923,0.18562874251497005,0.23053892215568864,0.3083832335329341
RotatE,Adam,SoftplusLoss,True,0.12574850299401197,0.2215568862275449,0.2634730538922156,0.36826347305389223
DistMult,Adam,BCEWithLogitsLoss,True,0.0688622754491018,0.16467065868263472,0.19461077844311378,0.2994011976047904
ComplEx,Adagrad,SoftplusLoss,False,0.0,0.0029940119760479044,0.008982035928143712,0.014970059880239521
RotatE,Adagrad,NSSALoss,False,0.12574850299401197,0.23053892215568864,0.32335329341317365,0.46107784431137727
DistMult,Adagrad,BCEWithLogitsLoss,True,0.0,0.008982035928143712,0.020958083832335328,0.06287425149700598
DistMult,SGD,BCEWithLogitsLoss,False,0.0,0.0,0.0,0.0
DistMult,Adagrad,SoftplusLoss,False,0.023952095808383235,0.06287425149700598,0.08083832335329341,0.11676646706586827
